address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce,median_cleaning_price,median_household_income_17-21,seniorcare_median_price,median_line_price,petcare_median_price,spclneeds_median_price,single_child_living_wage,single_nochild_living_wage,couple_child_living_wage,seniorcare_median_hours,spclneeds_median_hours
"6310 GRANDMONT DETROIT, MI ",6310,GRANDMONT,DETROIT,MI,48228,-83.207941,42.336531,26,163,545600,1,30.97,27566.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"12937 SPARLING DETROIT, MI 48212 ",12937,SPARLING,DETROIT,MI,48212,-83.045794,42.413781,26,163,511300,2,30.97,,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"14732 METTETAL DETROIT, MI 48227 ",14732,METTETAL,DETROIT,MI,48227,-83.207265,42.396997,26,163,542300,1,27.87,15069.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"1709 W GRAND BLVD DETROIT, MI 48210 ",1709,W GRAND BLVD,DETROIT,MI,48210,-83.111137,42.348806,26,163,527900,2,30.97,17335.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"3529 25TH ST DETROIT, MI 48208 ",3529,25TH ST,DETROIT,MI,48208,-83.095751,42.335031,26,163,522800,1,30.97,34519.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"11120 KENMOOR DETROIT, MI 48205 ",11120,KENMOOR,DETROIT,MI,48205,-83.007659,42.416395,26,163,505200,2,30.97,34298.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"120 SEWARD 43/405 DETROIT, MI 48202 ",120,SEWARD 43/405,DETROIT,MI,48202,-83.078883,42.374512,26,163,533900,1,30.97,32647.0,23.0,28.9,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"3038 CLAIRMOUNT DETROIT, MI 48206 ",3038,CLAIRMOUNT,DETROIT,MI,48206,-83.113662,42.371062,26,163,533200,2,30.97,20500.0,23.0,29.93,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"2235 CRANE DETROIT, MI 48214 ",2235,CRANE,DETROIT,MI,48214,-82.993126,42.36282,26,163,513800,2,33.03,34221.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"14591 CRUSE DETROIT, MI 48227 ",14591,CRUSE,DETROIT,MI,48227,-83.183468,42.396023,26,163,537100,2,29.94,24783.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"12087 FORRER DETROIT, MI 48227 ",12087,FORRER,DETROIT,MI,48227,-83.201647,42.375951,26,163,545100,2,28.9,,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"18199 HULL DETROIT, MI 48203 ",18199,HULL,DETROIT,MI,48203,-83.089128,42.427853,26,163,507300,1,30.97,48045.0,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"9304 CHALMERS DETROIT, MI 48213 ",9304,CHALMERS,DETROIT,MI,48213,-82.966002,42.407466,26,163,504100,1,35.1,,22.75,29.42,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"14040 GREENFIELD DETROIT, MI 48227 ",14040,GREENFIELD,DETROIT,MI,48227,-83.197164,42.389126,26,163,537300,1,27.87,50966.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"14541 RUTLAND DETROIT, MI 48227 ",14541,RUTLAND,DETROIT,MI,48227,-83.21392,42.394633,26,163,542500,2,27.87,45000.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"3542 DICKERSON DETROIT, MI 48215 ",3542,DICKERSON,DETROIT,MI,48215,-82.961224,42.384166,26,163,512800,2,35.61,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"15000 MANNING DETROIT, MI 48205 ",15000,MANNING,DETROIT,MI,48205,-82.966831,42.44072,26,163,500300,1,33.03,39940.0,22.5,28.38,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"8411 SIEBERT DETROIT, MI 48234 ",8411,SIEBERT,DETROIT,MI,48234,-83.017094,42.40582,26,163,505700,1,30.97,27000.0,24.0,28.9,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"14336 DACOSTA DETROIT, MI 48223 ",14336,DACOSTA,DETROIT,MI,48223,-83.259872,42.391212,26,163,544800,1,27.87,32880.0,22.5,30.97,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"9222 KENSINGTON DETROIT, MI 48224 ",9222,KENSINGTON,DETROIT,MI,48224,-82.9438,42.415067,26,163,501000,1,35.1,24590.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"3061 COPLIN DETROIT, MI 48215 ",3061,COPLIN,DETROIT,MI,48215,-82.957569,42.383025,26,163,512800,2,35.61,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"3456 CADILLAC DETROIT, MI 48214 ",3456,CADILLAC,DETROIT,MI,48214,-82.989475,42.372294,26,163,513900,1,35.1,39205.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"18262 STAHELIN DETROIT, MI 48219 ",18262,STAHELIN,DETROIT,MI,48219,-83.226982,42.423611,26,163,540500,2,30.97,,23.0,28.38,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"15335 INDIANA DETROIT, MI 48238 ",15335,INDIANA,DETROIT,MI,48238,-83.15784,42.403123,26,163,536300,2,30.45,38787.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"8801 MONICA DETROIT, MI 48204 ",8801,MONICA,DETROIT,MI,48204,-83.140936,42.359427,26,163,534800,3,29.94,16017.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"3205 WHITNEY DETROIT, MI 48206 ",3205,WHITNEY,DETROIT,MI,48206,-83.107709,42.361328,26,163,533300,1,30.97,48261.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"2123 MCPHERSON DETROIT, MI 48212 ",2123,MCPHERSON,DETROIT,MI,48212,-83.069886,42.405342,26,163,509100,2,30.97,,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"8557 DEARBORN DETROIT, MI 48209 ",8557,DEARBORN,DETROIT,MI,48209,-83.119465,42.290939,26,163,524600,1,27.87,16705.0,22.25,30.45,17.5,20.0,37.22,20.42,20.89,27.5,20.75
"9953 ARCHDALE DETROIT, MI 48227 ",9953,ARCHDALE,DETROIT,MI,48227,-83.215865,42.368347,26,163,545200,2,27.87,40116.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"15369 MENDOTA DETROIT, MI 48238 ",15369,MENDOTA,DETROIT,MI,48238,-83.165526,42.403461,26,163,536800,1,30.45,,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"16885 SUNDERLAND RD DETROIT, MI 48219 ",16885,SUNDERLAND RD,DETROIT,MI,48219,-83.228185,42.414771,26,163,543100,1,29.94,50580.0,23.0,27.87,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"2340 GLYNN CT DETROIT, MI 48206 ",2340,GLYNN CT,DETROIT,MI,48206,-83.10925,42.380225,26,163,531300,1,30.97,16636.0,23.0,28.38,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"16825 MONTE VISTA DETROIT, MI 48221 ",16825,MONTE VISTA,DETROIT,MI,48221,-83.168115,42.414719,26,163,536200,2,30.45,30927.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"16150 LENORE DETROIT, MI 48219 ",16150,LENORE,DETROIT,MI,48219,-83.280333,42.407989,26,163,544300,1,27.87,26472.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"17490 GODDARD DETROIT, MI 48212 ",17490,GODDARD,DETROIT,MI,48212,-83.078011,42.422263,26,163,507200,1,30.97,34750.0,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"15122 DACOSTA DETROIT, MI 48223 ",15122,DACOSTA,DETROIT,MI,48223,-83.260136,42.399337,26,163,544800,2,27.87,25909.0,22.5,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"3704 E FERRY DETROIT, MI 48211 ",3704,E FERRY,DETROIT,MI,48211,-83.030998,42.374202,26,163,519100,1,30.45,40000.0,23.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,24.0
"20501 LINDSAY DETROIT, MI 48235 ",20501,LINDSAY,DETROIT,MI,48235,-83.215248,42.442822,26,163,540100,3,29.94,16154.0,24.0,26.84,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"725 WHITMORE RD DETROIT, MI 48203 ",725,WHITMORE RD,DETROIT,MI,48203,-83.112419,42.419219,26,163,538300,1,30.97,50682.0,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"15338 PRAIRIE DETROIT, MI 48238 ",15338,PRAIRIE,DETROIT,MI,48238,-83.144526,42.403249,26,163,536300,2,30.97,38787.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"7329 DOLPHIN DETROIT, MI 48239 ",7329,DOLPHIN,DETROIT,MI,48239,-83.256582,42.343711,26,163,546201,1,30.97,40286.0,22.5,28.9,17.5,19.0,37.22,20.42,20.89,30.0,20.5
"17172 PRAIRIE DETROIT, MI 48221 ",17172,PRAIRIE,DETROIT,MI,48221,-83.144937,42.418212,26,163,538500,3,30.97,36607.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"12211 APPOLINE DETROIT, MI 48227 ",12211,APPOLINE,DETROIT,MI,48227,-83.169843,42.377729,26,163,535200,1,29.94,18732.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"15335 FERGUSON DETROIT, MI 48227 ",15335,FERGUSON,DETROIT,MI,48227,-83.209706,42.402116,26,163,542200,2,29.94,39091.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"14225 BENTLER DETROIT, MI 48223 ",14225,BENTLER,DETROIT,MI,48223,-83.251866,42.390176,26,163,544800,1,27.87,32880.0,22.5,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"3323 KENDALL DETROIT, MI 48238 ",3323,KENDALL,DETROIT,MI,48238,-83.132681,42.394801,26,163,531600,2,30.97,23224.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"4876 MARLBOROUGH DETROIT, MI 48224 ",4876,MARLBOROUGH,DETROIT,MI,48224,-82.957219,42.395305,26,163,502700,1,35.1,23333.0,22.5,30.97,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"1020 ALTER DETROIT, MI ",1020,ALTER,DETROIT,MI,48215,-82.939488,42.375412,26,163,512800,1,33.03,24886.0,21.5,28.39,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"9201 WEST PARKWAY DETROIT, MI 48239 ",9201,WEST PARKWAY,DETROIT,MI,48239,-83.265765,42.361977,26,163,546301,1,27.87,50250.0,22.5,30.97,17.5,19.0,37.22,20.42,20.89,30.0,20.5
"20460 PICADILLY DETROIT, MI 48221 ",20460,PICADILLY,DETROIT,MI,48221,-83.137362,42.444709,26,163,538100,1,30.97,73972.0,23.0,26.84,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"13343 LORETTO DETROIT, MI 48205 ",13343,LORETTO,DETROIT,MI,48205,-82.979674,42.41955,26,163,504000,1,30.97,30288.0,22.5,29.42,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"5703 LONYO DETROIT, MI 48210 ",5703,LONYO,DETROIT,MI,48210,-83.147371,42.334037,26,163,526100,1,30.97,17450.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"6404 BRUSH DETROIT, MI 48202 ",6404,BRUSH,DETROIT,MI,48202,-83.067201,42.37038,26,163,511900,1,30.97,11393.0,23.0,28.9,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"8203 PREST DETROIT, MI 48228 ",8203,PREST,DETROIT,MI,48228,-83.195925,42.353558,26,163,535800,3,27.87,,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"4915 CABOT DETROIT, MI 48210 ",4915,CABOT,DETROIT,MI,48210,-83.148769,42.328145,26,163,526000,1,30.97,30000.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"13210 TIREMAN DETROIT, MI 48228 ",13210,TIREMAN,DETROIT,MI,48228,-83.174223,42.351592,26,163,535600,3,27.87,,22.5,30.97,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"7771 WYKES DETROIT, MI 48204 ",7771,WYKES,DETROIT,MI,48204,-83.1423,42.350626,26,163,526500,1,30.45,29031.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"6420 SOUTH DETROIT, MI 48209 ",6420,SOUTH,DETROIT,MI,48209,-83.102514,42.301337,26,163,524600,1,30.97,16705.0,22.25,26.84,17.5,20.0,37.22,20.42,20.89,27.5,20.75
"4836 SPRINGLE DETROIT, MI 48215 ",4836,SPRINGLE,DETROIT,MI,48215,-82.968143,42.390789,26,163,502700,4,35.1,22212.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"164 E SAVANNAH DETROIT, MI 48203 ",164,E SAVANNAH,DETROIT,MI,48203,-83.098917,42.425294,26,163,509000,4,29.94,,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"8939 MENDOTA DETROIT, MI 48204 ",8939,MENDOTA,DETROIT,MI,48204,-83.164486,42.360806,26,163,535700,1,27.87,31172.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"3246 GLYNN CT DETROIT, MI 48206 ",3246,GLYNN CT,DETROIT,MI,48206,-83.118886,42.37667,26,163,531100,1,30.97,,23.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"5427 CECIL DETROIT, MI 48210 ",5427,CECIL,DETROIT,MI,48210,-83.135897,42.335988,26,163,526300,1,30.97,40885.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"22597 LEEWIN DETROIT, MI 48219 ",22597,LEEWIN,DETROIT,MI,48219,-83.26703,42.43682,26,163,541500,2,29.94,50294.0,23.0,27.87,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"4007 MCKINLEY DETROIT, MI 48208 ",4007,MCKINLEY,DETROIT,MI,48208,-83.100093,42.338083,26,163,522800,2,30.97,19468.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"18393 GRAYFIELD DETROIT, MI 48219 ",18393,GRAYFIELD,DETROIT,MI,48219,-83.270052,42.42441,26,163,541400,3,27.87,35990.0,23.0,29.93,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"19539 ALCOY DETROIT, MI 48205 ",19539,ALCOY,DETROIT,MI,48205,-82.989258,42.439066,26,163,503300,2,30.45,39229.0,22.5,28.38,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"10356 BRITAIN DETROIT, MI 48224 ",10356,BRITAIN,DETROIT,MI,48224,-82.941598,42.420057,26,163,500900,2,35.1,39054.0,22.5,27.87,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"4808 DUBOIS DETROIT, MI 48211 ",4808,DUBOIS,DETROIT,MI,48211,-83.041989,42.364185,26,163,519000,2,30.97,32143.0,23.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,24.0
"20944 LYNDON DETROIT, MI 48223 ",20944,LYNDON,DETROIT,MI,48223,-83.247753,42.393475,26,163,544800,2,27.87,25909.0,22.5,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"1143 ASHLAND DETROIT, MI 48215 ",1143,ASHLAND,DETROIT,MI,48215,-82.941931,42.376336,26,163,512800,1,33.03,24886.0,21.5,28.39,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"13191 MORAN DETROIT, MI 48212 ",13191,MORAN,DETROIT,MI,48212,-83.061983,42.414056,26,163,509100,3,30.97,38191.0,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"9443 CAMLEY DETROIT, MI 48224 ",9443,CAMLEY,DETROIT,MI,48224,-82.932818,42.422177,26,163,500800,2,35.1,29567.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"15838 INDIANA DETROIT, MI 48221 ",15838,INDIANA,DETROIT,MI,48221,-83.157461,42.408513,26,163,536300,1,30.45,30738.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"13246 ROBSON DETROIT, MI 48227 ",13246,ROBSON,DETROIT,MI,48227,-83.192086,42.384669,26,163,537300,3,28.9,39413.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"11525 BEACONSFIELD DETROIT, MI 48224 ",11525,BEACONSFIELD,DETROIT,MI,48224,-82.94478,42.426119,26,163,500700,2,35.1,47292.0,22.5,27.87,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"12154 MONTROSE DETROIT, MI 48227 ",12154,MONTROSE,DETROIT,MI,48227,-83.199768,42.376912,26,163,545100,2,28.9,,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"19988 PRAIRIE DETROIT, MI 48221 ",19988,PRAIRIE,DETROIT,MI,48221,-83.145789,42.440082,26,163,539000,2,28.9,27004.0,23.0,27.35,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"20121 TRINITY DETROIT, MI 48219 ",20121,TRINITY,DETROIT,MI,48219,-83.25054,42.439908,26,163,540900,2,27.87,59145.0,23.0,28.38,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"9582 PREST DETROIT, MI 48227 ",9582,PREST,DETROIT,MI,48227,-83.195892,42.366651,26,163,535300,3,28.9,34032.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"19206 CHARLESTON DETROIT, MI 48203 ",19206,CHARLESTON,DETROIT,MI,48203,-83.107014,42.433788,26,163,508000,1,30.45,12046.0,23.75,27.35,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"14129 RUTLAND DETROIT, MI 48227 ",14129,RUTLAND,DETROIT,MI,48227,-83.213755,42.389614,26,163,542500,1,27.87,63571.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"612 MARSTON DETROIT, MI 48202 ",612,MARSTON,DETROIT,MI,48202,-83.06838,42.377582,26,163,511200,1,30.97,19883.0,23.0,28.38,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"18518 PELKEY DETROIT, MI 48205 ",18518,PELKEY,DETROIT,MI,48205,-82.985848,42.431149,26,163,503500,2,30.97,39583.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"8284 INDIANA DETROIT, MI 48204 ",8284,INDIANA,DETROIT,MI,48204,-83.155084,42.355446,26,163,534700,1,28.9,30039.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"18304 STRATHMOOR DETROIT, MI 48235 ",18304,STRATHMOOR,DETROIT,MI,48235,-83.188317,42.425101,26,163,539600,1,30.45,52397.0,24.0,28.38,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"2156 PHILIP DETROIT, MI 48215 ",2156,PHILIP,DETROIT,MI,48215,-82.946187,42.380327,26,163,512800,1,35.1,24886.0,21.5,28.39,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"18631 CHERRYLAWN DETROIT, MI 48221 ",18631,CHERRYLAWN,DETROIT,MI,48221,-83.155738,42.428339,26,163,538600,3,30.45,58649.0,23.0,27.87,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"19955 WALTHAM DETROIT, MI 48205 ",19955,WALTHAM,DETROIT,MI,48205,-82.995581,42.443246,26,163,503200,2,27.87,46027.0,22.5,28.38,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"550 SMITH DETROIT, MI 48202 ",550,SMITH,DETROIT,MI,48202,-83.068369,42.375514,26,163,511200,1,30.97,19883.0,23.0,28.9,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"18490 LAUDER DETROIT, MI 48235 ",18490,LAUDER,DETROIT,MI,48235,-83.192124,42.426576,26,163,539600,2,30.45,47031.0,24.0,27.87,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"18032 FENMORE DETROIT, MI 48235 ",18032,FENMORE,DETROIT,MI,48235,-83.217629,42.421528,26,163,540400,2,29.94,11639.0,24.0,27.87,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"3409 MONTCLAIR DETROIT, MI 48214 ",3409,MONTCLAIR,DETROIT,MI,48214,-82.982844,42.374236,26,163,513900,2,35.1,36250.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"11990 RADOM DETROIT, MI 48212 ",11990,RADOM,DETROIT,MI,48212,-83.049898,42.409222,26,163,510600,3,30.97,33113.0,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"14311 CHANDLER PARK DR DETROIT, MI 48213 ",14311,CHANDLER PARK DR,DETROIT,MI,48213,-82.963063,42.40048,26,163,502600,3,35.1,,22.75,29.42,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"11067 WAYBURN DETROIT, MI 48224 ",11067,WAYBURN,DETROIT,MI,48224,-82.955557,42.419145,26,163,501000,2,33.03,42315.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"16162 STRATHMOOR DETROIT, MI 48235 ",16162,STRATHMOOR,DETROIT,MI,48235,-83.187846,42.410088,26,163,537600,2,29.94,,24.0,28.9,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"3145 CHARLEVOIX DETROIT, MI 48207 ",3145,CHARLEVOIX,DETROIT,MI,48207,-83.026192,42.354579,26,163,516800,1,29.42,29500.0,22.75,28.9,17.5,20.0,37.22,20.42,20.89,30.0,26.25
"2305 BLAINE DETROIT, MI 48206 ",2305,BLAINE,DETROIT,MI,48206,-83.10237,42.370948,26,163,533100,2,30.97,24479.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"4187 COPLIN DETROIT, MI 48215 ",4187,COPLIN,DETROIT,MI,48215,-82.960567,42.387589,26,163,502700,3,35.61,,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"15810 HARTWELL DETROIT, MI 48235 ",15810,HARTWELL,DETROIT,MI,48235,-83.177977,42.407778,26,163,537000,1,30.45,54375.0,24.0,28.9,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"2937 BUENA VISTA DETROIT, MI 48238 ",2937,BUENA VISTA,DETROIT,MI,48238,-83.124106,42.389424,26,163,531502,1,30.97,,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
